hour,minute,day,month,year,site_id_ttl,irradiance_wm2,rainfall_mm,relative_humidity_pct,sea_level_pressure_hpa,temperature_c,visibility_km,wind_speed_ms,normalized_generation
0,0,1,6,2021,SQ1,4.408,0.0,99.419,1003.50913,24.097,15.955,0.88501,0.0000000000000000000
0,15,1,6,2021,SQ1,4.4081,0.0,99.195,1003.68913,24.13,15.989,0.85373,0.0000000000000000000
0,30,1,6,2021,SQ1,4.959,0.0,99.251,1003.57913,24.231,11.142,1.5912,0.0000000000000000000
0,45,1,6,2021,SQ1,4.7384,0.0,99.419,1003.52913,24.231,11.355,1.6181,0.0000000000000000000
1,0,1,6,2021,SQ1,5.3994,0.0,99.631,1003.52913,24.342,3.338,2.331,0.0000000000000000000
1,15,1,6,2021,SQ1,5.73,0.0,99.843,1003.44913,24.298,3.2227,1.4192,0.0000000000000000000
1,30,1,6,2021,SQ1,5.2892,0.0,99.832,1003.49913,24.365,6.2237,0.63918,0.0000000000000000000
1,45,1,6,2021,SQ1,5.7302,0.0,99.821,1003.40913,24.432,5.2381,1.2605,0.0000000000000000000
2,0,1,6,2021,SQ1,5.8403,0.0,99.832,1003.42913,24.499,1.2873,1.0079,0.0000000000000000000
2,15,1,6,2021,SQ1,5.9505,0.0,99.832,1003.38913,24.566,0.62711,1.0817,0.0000000000000000000
2,30,1,6,2021,SQ1,5.9504,0.0,99.843,1003.27913,24.767,2.4709,0.56319,0.0000000000000000000
2,45,1,6,2021,SQ1,5.9504,0.0,99.832,1003.26913,24.678,3.3675,1.1778,0.0000000000000000000
3,0,1,6,2021,SQ1,5.9507,0.0,99.832,1003.27913,24.767,0.50508,2.1455,0.0000000000000000000
3,15,1,6,2021,SQ1,5.9507,0.0,99.843,1003.25913,24.722,4.0474,1.2381,0.0000000000000000000
3,30,1,6,2021,SQ1,5.9506,0.0,99.832,1003.27913,24.633,0.52922,1.9086,0.0000000000000000000
3,45,1,6,2021,SQ1,5.9505,0.0,99.832,1003.38913,24.655,5.4531,1.2605,0.0000000000000000000
4,0,1,6,2021,SQ1,5.9506,0.0,99.855,1003.38913,24.7,10.325,1.0102,0.0000000000000000000
4,15,1,6,2021,SQ1,5.9504,0.0,99.832,1003.40913,24.566,14.223,0.7621,0.0000000000000000000
4,30,1,6,2021,SQ1,5.9506,0.0,99.832,1003.40913,24.566,14.317,1.7477,0.0000000000000000000
4,45,1,6,2021,SQ1,5.8405,0.0,99.642,1003.40913,24.555,10.823,0.97217,0.0000000000000000000
5,0,1,6,2021,SQ1,5.9508,0.254,99.497,1003.40913,24.387,5.6587,1.6225,0.0000000000000000000
5,15,1,6,2021,SQ1,5.6199,0.0,99.631,1003.40913,24.354,5.9622,1.2582,0.0000000000000000000
5,30,1,6,2021,SQ1,5.7302,0.0,99.709,1003.40913,24.32,12.034,1.6605,0.0000000000000000000
5,45,1,6,2021,SQ1,5.9508,0.0,99.642,1003.44913,24.231,12.269,0.47827,0.0000000000000000000
6,0,1,6,2021,SQ1,8.4851,0.0,99.843,1003.52913,24.443,13.42,1.0638,0.0000000000000000000
6,15,1,6,2021,SQ1,12.893,0.0,99.776,1003.53913,24.577,7.444,1.6024,0.0003985507246376000
6,30,1,6,2021,SQ1,17.191,0.0,99.832,1003.64913,24.577,7.3595,1.151,0.0014855072463768001
6,45,1,6,2021,SQ1,16.64,0.0,99.698,1003.64913,24.644,10.967,0.53637,0.0040579710144927001
7,0,1,6,2021,SQ1,28.43,0.0,99.497,1003.74913,24.566,10.263,1.028,0.0090579710144927002
7,15,1,6,2021,SQ1,46.172,0.0,99.698,1003.64913,24.789,10.571,0.89842,0.0122101449275361998
7,30,1,6,2021,SQ1,44.19,0.0,99.765,1003.71913,24.845,7.4225,0.44698,0.0107608695652172993
7,45,1,6,2021,SQ1,48.927,0.0,99.821,1003.78913,25.125,14.51,2.0717,0.0134420289855072001
8,0,1,6,2021,SQ1,51.351,0.0,99.519,1003.89913,25.169,15.792,1.3365,0.0155434782608695008
8,15,1,6,2021,SQ1,70.747,0.0,99.352,1004.02913,25.359,12.845,0.55649,0.0143840579710143995
8,30,1,6,2021,SQ1,38.79,0.0,99.072,1003.89913,25.437,7.212,1.6449,0.0060507246376811001
8,45,1,6,2021,SQ1,45.071,0.0,98.659,1003.89913,25.292,3.7984,1.484,0.0217028985507245996
9,0,1,6,2021,SQ1,104.47,0.0,98.838,1003.94913,25.393,3.448,1.4884,0.0265942028985506999
9,15,1,6,2021,SQ1,19.835,0.254,99.318,1004.12913,25.236,1.4571,2.7891,0.0084057971014491993
9,30,1,6,2021,SQ1,26.557,0.254,99.62,1004.15913,24.868,0.25209,2.8741,0.0053260869565217002
9,45,1,6,2021,SQ1,26.006,0.0,99.832,1004.14913,24.868,0.16628,2.5858,0.0078623188405796997
10,0,1,6,2021,SQ1,51.571,0.0,99.832,1004.12913,24.834,0.22438,2.7757,0.0169927536231883995
10,15,1,6,2021,SQ1,41.323,0.0,99.843,1004.11913,24.912,0.73483,4.0653,0.0134057971014492003
10,30,1,6,2021,SQ1,85.621,0.0,99.832,1004.10913,24.99,0.33523,2.4539,0.0316666666666666000
10,45,1,6,2021,SQ1,53.004,0.0,99.832,1004.12913,25.069,0.36473,2.0203,0.0151086956521739001
11,0,1,6,2021,SQ1,79.011,0.0,99.855,1004.04913,25.169,0.21902,1.8617,0.0394202898550723990
11,15,1,6,2021,SQ1,178.96,0.0,99.832,1004.01913,25.516,2.6765,1.2381,0.0985507246376810947
11,30,1,6,2021,SQ1,56.972,0.0,99.832,1004.01913,25.616,14.723,1.2716,0.0937318840579710044
11,45,1,6,2021,SQ1,272.4,0.0,99.827,1003.93913,25.769,15.994,1.6828,0.1148188405797101047
12,0,1,6,2021,SQ1,117.9,0.0,99.232,1003.86913,26.315,15.993,1.8526,0.1298188405797101042
12,15,1,6,2021,SQ1,299.04,0.0,96.268,1003.83913,26.279,15.993,2.7866,0.0684420289855072056
12,30,1,6,2021,SQ1,249.9,0.0,96.915,1003.80913,25.977,15.993,2.5296,0.0502173913043477971
12,45,1,6,2021,SQ1,323.49,0.0,96.61,1003.71913,26.232,15.992,3.1641,0.0709057971014492028
13,0,1,6,2021,SQ1,344.97,0.0,93.66,1003.66913,26.835,15.992,3.7786,0.0869927536231883958
13,15,1,6,2021,SQ1,530.48,0.0,90.04,1003.54913,27.348,15.992,3.4769,0.1510144927536231918
13,30,1,6,2021,SQ1,451.35,0.0,88.073,1003.46913,27.382,15.992,2.601,0.1038043478260868985
13,45,1,6,2021,SQ1,155.0,0.0,90.475,1003.63913,26.711,15.992,4.335,0.0502898550724637031
14,0,1,6,2021,SQ1,75.241,0.0,94.304,1003.57913,26.542,15.239,2.8936,0.0195289855072462992
14,15,1,6,2021,SQ1,48.142,0.0,97.133,1003.52913,26.018,9.6499,2.1161,0.0169202898550723999
14,30,1,6,2021,SQ1,121.84,0.0,98.296,1003.48913,25.974,11.09,3.1596,0.0248188405797101011
14,45,1,6,2021,SQ1,64.559,0.0,97.581,1003.58913,26.242,12.601,2.8378,0.0303260869565217007
15,0,1,6,2021,SQ1,28.535,0.0,97.749,1003.58913,26.253,15.992,4.0355,0.0086594202898550004
15,15,1,6,2021,SQ1,26.882,0.0,98.508,1003.44913,26.03,7.2407,5.8812,0.0211231884057970984
15,30,1,6,2021,SQ1,103.9,0.0,99.335,1003.52913,26.242,11.12,2.0513,0.0367753623188405016
15,45,1,6,2021,SQ1,33.718,0.0,98.846,1003.46913,26.132,12.062,2.2904,0.0107608695652172993
16,0,1,6,2021,SQ1,28.429,0.0,98.634,1003.55913,26.009,13.033,1.6893,0.0128623188405797007
16,15,1,6,2021,SQ1,27.326,0.0,98.623,1003.58913,26.088,9.8751,0.89607,0.0134057971014492003
16,30,1,6,2021,SQ1,47.599,0.0,94.481,1003.48913,25.688,5.693,2.4045,0.0106521739130434005
16,45,1,6,2021,SQ1,23.359,0.0,95.61,1003.48913,25.487,2.5636,1.2916,0.0025724637681159000
17,0,1,6,2021,SQ1,11.68,0.254,96.71,1003.82913,25.412,0.98553,1.3923,0.0000000000000000000
17,15,1,6,2021,SQ1,9.9176,0.0,96.389,1003.69913,25.056,5.6685,1.6493,0.0000000000000000000
17,30,1,6,2021,SQ1,7.3833,0.0,95.999,1003.79913,24.409,9.0521,1.6382,0.0000000000000000000
17,45,1,6,2021,SQ1,6.2811,0.0,95.429,1003.85913,24.096,13.003,2.655,0.0000000000000000000
18,0,1,6,2021,SQ1,5.9508,0.0,96.145,1003.85913,24.152,10.842,0.81797,0.0000000000000000000
18,15,1,6,2021,SQ1,5.9509,0.0,96.055,1004.01913,24.231,4.9713,2.1611,0.0000000000000000000
18,30,1,6,2021,SQ1,5.9508,0.0,94.927,1003.99913,24.387,6.499,3.0819,0.0000000000000000000
18,45,1,6,2021,SQ1,5.7304,0.0,96.011,1003.97913,24.342,3.4945,1.5644,0.0000000000000000000
19,0,1,6,2021,SQ1,5.6201,0.0,95.407,1003.90913,24.242,9.6976,1.9086,0.0000000000000000000
19,15,1,6,2021,SQ1,5.2895,0.0,93.675,1003.89913,24.007,13.918,0.86714,0.0000000000000000000
19,30,1,6,2021,SQ1,5.5099,0.0,94.066,1003.90913,24.097,6.6783,1.6762,0.0000000000000000000
19,45,1,6,2021,SQ1,5.5101,0.0,95.441,1004.01913,24.152,5.6552,1.1912,0.0000000000000000000
20,0,1,6,2021,SQ1,5.5101,0.0,92.67,1004.01913,23.828,8.7925,0.99676,0.0000000000000000000
20,15,1,6,2021,SQ1,5.0693,0.0,91.843,1004.14913,23.694,13.2,1.5063,0.0000000000000000000
20,30,1,6,2021,SQ1,5.2898,0.254,89.06,1004.24913,23.683,8.7692,1.5801,0.0000000000000000000
20,45,1,6,2021,SQ1,5.4001,0.0,86.088,1004.28913,24.007,8.7925,3.2026,0.0000000000000000000
21,0,1,6,2021,SQ1,5.29,0.0,85.216,1004.36913,24.085,13.102,1.2605,0.0000000000000000000
21,15,1,6,2021,SQ1,5.1799,0.0,88.781,1004.26913,23.962,15.989,2.1678,0.0000000000000000000
21,30,1,6,2021,SQ1,5.1798,0.0,91.53,1004.14913,23.828,15.989,0.47827,0.0000000000000000000
21,45,1,6,2021,SQ1,5.0696,0.0,90.412,1004.27913,23.873,15.989,2.7914,0.0000000000000000000
22,0,1,6,2021,SQ1,5.0696,0.0,90.49,1004.14913,24.007,15.989,2.1812,0.0000000000000000000
22,15,1,6,2021,SQ1,5.29,0.0,90.569,1004.06913,24.018,15.989,0.61012,0.0000000000000000000
22,30,1,6,2021,SQ1,5.2899,0.0,88.591,1004.14913,24.264,15.989,0.7174,0.0000000000000000000
22,45,1,6,2021,SQ1,5.2899,0.0,90.569,1004.14913,24.286,15.989,0.57213,0.0000000000000000000
23,0,1,6,2021,SQ1,5.4001,0.0,88.032,1004.19913,24.365,15.989,0.961,0.0000000000000000000
23,15,1,6,2021,SQ1,5.8408,0.0,88.58,1004.07913,24.566,15.989,1.0549,0.0000000000000000000
23,30,1,6,2021,SQ1,5.4,0.0,90.178,1004.01913,24.365,15.989,1.2828,0.0000000000000000000
23,45,1,6,2021,SQ1,5.8408,0.0,83.875,1004.01913,25.18,15.989,2.9366,0.0000000000000000000
0,0,2,6,2021,SQ1,5.7306,0.0,83.976,1004.06913,25.203,15.989,3.2361,0.0000000000000000000
0,15,2,6,2021,SQ1,5.7306,0.0,85.529,1004.13913,25.069,15.989,1.6739,0.0000000000000000000
0,30,2,6,2021,SQ1,5.7305,0.0,87.529,1004.12913,24.979,15.989,2.6327,0.0000000000000000000
0,45,2,6,2021,SQ1,6.5018,0.254,91.474,1004.09913,24.521,6.6698,2.1969,0.0000000000000000000
1,0,2,6,2021,SQ1,5.2895,0.0,91.977,1004.11913,24.286,15.989,1.8505,0.0000000000000000000
1,15,2,6,2021,SQ1,5.3999,0.0,92.871,1003.94913,23.985,15.989,2.4964,0.0000000000000000000
1,30,2,6,2021,SQ1,5.6203,0.0,92.502,1003.75913,24.298,15.989,1.0862,0.0000000000000000000
1,45,2,6,2021,SQ1,5.5103,0.0,94.379,1003.62913,23.996,15.989,3.4507,0.0000000000000000000
2,0,2,6,2021,SQ1,5.7307,0.0,94.636,1003.56913,23.929,15.989,2.9411,0.0000000000000000000
2,15,2,6,2021,SQ1,5.7308,0.0,92.055,1003.64913,23.851,15.989,2.1365,0.0000000000000000000
2,30,2,6,2021,SQ1,5.5103,0.0,91.887,1003.77913,24.231,12.919,2.3533,0.0000000000000000000
2,45,2,6,2021,SQ1,5.9514,0.0,92.435,1003.71913,24.231,8.3325,0.81573,0.0000000000000000000
3,0,2,6,2021,SQ1,5.9512,0.0,93.955,1003.62913,24.085,3.8923,1.1934,0.0000000000000000000
3,15,2,6,2021,SQ1,6.2818,0.0,95.363,1003.63913,23.884,7.8878,1.0303,0.0000000000000000000
3,30,2,6,2021,SQ1,6.0614,0.0,95.865,1003.62913,23.918,4.8037,0.98111,0.0000000000000000000
3,45,2,6,2021,SQ1,6.3919,0.0,94.212,1003.54913,23.795,4.0389,0.77327,0.0000000000000000000
4,0,2,6,2021,SQ1,6.061,0.0,95.396,1003.62913,23.772,4.1922,0.69058,0.0000000000000000000
4,15,2,6,2021,SQ1,5.951,0.0,96.234,1003.64913,23.828,6.1218,1.2471,0.0000000000000000000
4,30,2,6,2021,SQ1,5.8409,0.0,95.586,1003.77913,23.772,5.9877,1.5197,0.0000000000000000000
4,45,2,6,2021,SQ1,6.0612,0.0,93.843,1003.67913,23.828,6.3337,0.77551,0.0000000000000000000
5,0,2,6,2021,SQ1,6.2815,0.0,93.765,1003.67913,23.951,7.6174,2.0829,0.0000000000000000000
5,15,2,6,2021,SQ1,5.8409,0.0,92.178,1003.77913,24.029,6.0333,1.6449,0.0000000000000000000
5,30,2,6,2021,SQ1,6.9428,0.0,93.262,1003.77913,24.097,4.3366,0.98558,0.0000000000000000000
5,45,2,6,2021,SQ1,9.9182,0.0,93.373,1003.93913,24.085,5.6064,0.32629,0.0001086956521739000
6,0,2,6,2021,SQ1,17.192,0.0,94.2,1003.93913,24.175,5.6163,0.70175,0.0024637681159419998
6,15,2,6,2021,SQ1,31.408,0.0,93.53,1004.01913,24.242,11.952,0.52743,0.0083333333333333003
6,30,2,6,2021,SQ1,41.217,0.0,93.753,1004.01913,24.365,8.6275,0.75092,0.0128985507246375999
6,45,2,6,2021,SQ1,62.926,0.0,92.569,1004.04913,24.611,13.364,1.2806,0.0152536231884056999
7,0,2,6,2021,SQ1,51.243,0.0,91.675,1004.05913,24.901,9.1898,1.1778,0.0138768115942028009
7,15,2,6,2021,SQ1,57.743,0.0,91.608,1004.12913,25.18,6.9496,0.74198,0.0153260869565216996
7,30,2,6,2021,SQ1,67.441,0.0,90.692,1004.14913,25.437,4.9011,1.1599,0.0129347826086955997
7,45,2,6,2021,SQ1,62.148,0.0,90.368,1004.21913,25.504,11.025,0.37993,0.0146014492753622997
8,0,2,6,2021,SQ1,37.687,0.0,86.49,1004.26913,25.572,8.3656,1.0057,0.0171014492753623001
8,15,2,6,2021,SQ1,39.119,0.0,91.921,1004.36913,25.247,9.6833,2.1008,0.0214855072463767983
8,30,2,6,2021,SQ1,96.421,0.0,93.474,1004.38913,25.169,15.991,1.6181,0.0450724637681158974
8,45,2,6,2021,SQ1,233.61,0.0,93.005,1004.42913,25.37,15.995,2.1991,0.0872463768115941951
9,0,2,6,2021,SQ1,215.65,0.0,88.218,1004.37913,25.825,15.994,1.1956,0.0651086956521739063
9,15,2,6,2021,SQ1,41.654,0.0,89.02,1004.35913,25.969,15.992,2.9766,0.0927898550724637061
9,30,2,6,2021,SQ1,515.58,0.0,89.107,1004.34913,26.57,15.993,1.5062,0.1577173913043478093
9,45,2,6,2021,SQ1,566.11,0.0,83.539,1004.33913,27.417,15.992,0.95192,0.1636231884057970931
10,0,2,6,2021,SQ1,430.57,0.0,84.23,1004.20913,27.427,15.992,1.2603,0.1413043478260868901
10,15,2,6,2021,SQ1,315.94,0.0,85.951,1004.18913,27.449,15.995,0.37987,0.1736594202898550099
10,30,2,6,2021,SQ1,524.24,0.0,82.653,1004.11913,28.14,15.997,1.7451,0.1829347826086956119
10,45,2,6,2021,SQ1,508.4,0.0,82.078,1004.02913,28.482,15.996,0.6703,0.1772826086956520997
11,0,2,6,2021,SQ1,268.66,0.0,84.981,1003.94913,27.788,15.996,0.96074,0.1727173913043477949
11,15,2,6,2021,SQ1,464.82,0.0,85.326,1004.07913,28.457,15.995,1.5707,0.1868115942028985010
11,30,2,6,2021,SQ1,91.31,0.0,85.951,1003.89913,28.111,15.995,2.27,0.0646739130434782067
11,45,2,6,2021,SQ1,676.82,0.0,87.146,1003.90913,28.3,15.997,2.6587,0.1728985507246376119
12,0,2,6,2021,SQ1,462.17,0.0,87.314,1003.86913,28.792,15.996,2.2811,0.1759420289855072039
12,15,2,6,2021,SQ1,40.423,0.0,88.431,1003.86913,28.256,15.995,1.622,0.0467028985507245975
12,30,2,6,2021,SQ1,178.88,0.0,94.541,1004.01913,27.362,14.567,2.4442,0.0557608695652173011
12,45,2,6,2021,SQ1,232.65,0.0,92.845,1003.91913,27.564,15.991,5.0673,0.0892028985507245936
13,0,2,6,2021,SQ1,202.7,0.0,90.268,1003.80913,28.025,15.991,2.1763,0.1273913043478260010
13,15,2,6,2021,SQ1,369.49,0.0,86.306,1003.70913,28.833,15.992,3.3159,0.1290217391304346872
13,30,2,6,2021,SQ1,240.16,0.0,81.0,1003.68913,29.403,15.993,1.6826,0.1105797101449274983
13,45,2,6,2021,SQ1,296.78,0.0,82.688,1003.60913,29.113,15.993,1.7519,0.1022101449275362034
14,0,2,6,2021,SQ1,268.69,0.0,82.018,1003.54913,29.192,15.996,1.8725,0.0716666666666666008
14,15,2,6,2021,SQ1,149.82,0.0,83.689,1003.43913,28.841,15.996,3.6286,0.0623913043478259988
14,30,2,6,2021,SQ1,183.1,0.0,82.994,1003.37913,28.84,15.992,2.7706,0.0593115942028984988
14,45,2,6,2021,SQ1,164.92,0.0,79.597,1003.43913,29.096,15.993,1.2713,0.0494927536231883972
15,0,2,6,2021,SQ1,114.91,0.0,79.578,1003.43913,29.121,15.995,1.4166,0.0388768115942028022
15,15,2,6,2021,SQ1,108.18,0.0,81.453,1003.43913,28.851,15.992,2.3416,0.0330434782608695007
15,30,2,6,2021,SQ1,100.8,0.0,81.244,1003.33913,28.809,15.993,1.3943,0.0315942028985507009
15,45,2,6,2021,SQ1,101.24,0.0,83.693,1003.33913,28.587,15.994,2.411,0.0341304347826085971
16,0,2,6,2021,SQ1,99.81,0.0,84.866,1003.33913,28.577,15.992,2.2613,0.0342028985507246003
16,15,2,6,2021,SQ1,100.58,0.0,84.207,1003.33913,28.678,15.992,1.5061,0.0363768115942028972
16,30,2,6,2021,SQ1,122.28,0.0,85.738,1003.35913,28.611,15.992,1.5597,0.0410869565217390972
16,45,2,6,2021,SQ1,130.21,0.0,83.437,1003.47913,28.823,15.992,0.70164,0.0409057971014491970
17,0,2,6,2021,SQ1,118.54,0.0,80.778,1003.48913,28.979,15.992,0.99659,0.0377173913043477999
17,15,2,6,2021,SQ1,105.65,0.0,81.47,1003.52913,29.058,15.992,1.5664,0.0322826086956521027
17,30,2,6,2021,SQ1,93.751,0.0,81.303,1003.55913,28.879,15.992,0.63684,0.0239492753623187990
17,45,2,6,2021,SQ1,71.388,0.0,81.515,1003.56913,28.845,15.994,0.5631,0.0169927536231883995
18,0,2,6,2021,SQ1,53.321,0.0,81.615,1003.67913,28.499,15.992,1.3541,0.0123550724637681002
18,15,2,6,2021,SQ1,40.431,0.0,81.783,1003.67913,28.588,15.992,0.68599,0.0072826086956520996
18,30,2,6,2021,SQ1,26.441,0.0,82.576,1003.69913,28.611,15.992,0.3888,0.0021376811594201999
18,45,2,6,2021,SQ1,12.559,0.0,82.487,1003.70913,28.577,15.993,0.54299,0.0000000000000000000
19,0,2,6,2021,SQ1,7.7119,0.0,82.733,1003.70913,28.521,15.992,0.62566,0.0000000000000000000
19,15,2,6,2021,SQ1,6.1698,0.0,84.241,1003.88913,28.242,15.992,0.97648,0.0000000000000000000
19,30,2,6,2021,SQ1,5.9496,0.0,83.861,1003.83913,28.108,15.992,0.58991,0.0000000000000000000
19,45,2,6,2021,SQ1,5.9495,0.0,83.571,1003.83913,28.041,15.992,0.54969,0.0000000000000000000
20,0,2,6,2021,SQ1,5.9493,0.0,81.75,1003.89913,28.22,15.992,0.82453,0.0000000000000000000
20,15,2,6,2021,SQ1,6.1697,0.0,81.872,1003.89913,28.264,15.992,1.0033,0.0000000000000000000
20,30,2,6,2021,SQ1,6.2799,0.0,82.61,1003.99913,28.22,15.992,0.46925,0.0000000000000000000
20,45,2,6,2021,SQ1,6.3901,0.0,84.587,1003.95913,27.974,15.992,0.88934,0.0000000000000000000
21,0,2,6,2021,SQ1,6.0595,0.0,88.702,1003.94913,27.451,15.992,0.95417,0.0000000000000000000
21,15,2,6,2021,SQ1,5.9495,0.0,89.798,1003.84913,27.206,15.993,1.6491,0.0000000000000000000
21,30,2,6,2021,SQ1,5.2886,0.0,89.976,1003.88913,27.172,15.993,0.66815,0.0000000000000000000
21,45,2,6,2021,SQ1,5.8396,0.0,90.367,1003.89913,27.15,15.993,0.98993,0.0000000000000000000
22,0,2,6,2021,SQ1,5.7296,0.0,90.836,1003.94913,27.105,15.993,0.73518,0.0000000000000000000
22,15,2,6,2021,SQ1,5.3991,0.0,91.753,1003.97913,26.893,15.993,0.37318,0.0000000000000000000
22,30,2,6,2021,SQ1,5.5094,0.0,92.792,1003.97913,26.893,15.993,1.3631,0.0000000000000000000
22,45,2,6,2021,SQ1,5.7298,0.0,93.071,1003.94913,26.848,15.992,1.7653,0.0000000000000000000
23,0,2,6,2021,SQ1,5.7297,0.0,93.317,1003.98913,27.038,15.993,0.69273,0.0000000000000000000
23,15,2,6,2021,SQ1,5.9497,0.0,93.395,1004.05913,26.837,14.774,0.97429,0.0000000000000000000
23,30,2,6,2021,SQ1,5.6193,0.0,94.491,1004.09913,26.726,13.391,0.77765,0.0000000000000000000
23,45,2,6,2021,SQ1,6.1705,0.0,95.216,1004.07913,26.747,11.963,0.73295,0.0000000000000000000
0,0,3,6,2021,SQ1,5.5093,0.0,94.56,1004.06913,26.503,15.425,1.0704,0.0000000000000000000
0,15,3,6,2021,SQ1,5.6196,0.0,96.214,1003.99913,26.37,13.729,2.8582,0.0000000000000000000
0,30,3,6,2021,SQ1,5.7296,0.0,96.547,1003.97913,26.759,14.18,1.2491,0.0000000000000000000
0,45,3,6,2021,SQ1,5.6197,0.0,95.789,1004.07913,26.75,14.826,1.4011,0.0000000000000000000
1,0,3,6,2021,SQ1,5.95,0.0,95.507,1003.97913,26.893,14.926,1.9463,0.0000000000000000000
1,15,3,6,2021,SQ1,5.7296,0.0,95.272,1003.90913,26.904,15.767,1.8547,0.0000000000000000000
1,30,3,6,2021,SQ1,5.8398,0.0,96.042,1003.91913,26.624,13.042,1.3832,0.0000000000000000000
1,45,3,6,2021,SQ1,6.0602,0.0,96.693,1003.93913,26.57,14.022,1.6358,0.0000000000000000000
2,0,3,6,2021,SQ1,5.7296,0.0,96.445,1003.99913,26.703,15.745,1.0637,0.0000000000000000000
2,15,3,6,2021,SQ1,5.9499,0.0,96.48,1003.85913,26.525,11.531,0.57877,0.0000000000000000000
2,30,3,6,2021,SQ1,6.1703,0.0,96.302,1003.85913,26.369,9.929,1.0905,0.0000000000000000000
2,45,3,6,2021,SQ1,6.2804,0.0,96.928,1003.83913,26.336,9.0964,0.97878,0.0000000000000000000
3,0,3,6,2021,SQ1,6.1704,0.0,97.406,1003.74913,26.368,9.8295,0.79999,0.0000000000000000000
3,15,3,6,2021,SQ1,6.1702,0.0,97.472,1003.75913,26.3,9.0027,1.0413,0.0000000000000000000
3,30,3,6,2021,SQ1,5.8399,0.0,97.631,1003.83913,26.301,10.547,0.89385,0.0000000000000000000
3,45,3,6,2021,SQ1,6.1703,0.0,97.908,1003.76913,26.367,8.1205,0.36871,0.0000000000000000000
4,0,3,6,2021,SQ1,6.2807,0.0,97.997,1003.83913,26.434,9.8388,0.35753,0.0000000000000000000
4,15,3,6,2021,SQ1,6.2807,0.0,97.932,1003.84913,26.502,9.8832,0.64357,0.0000000000000000000
4,30,3,6,2021,SQ1,6.391,0.0,97.617,1003.82913,26.501,8.1151,0.64356,0.0000000000000000000
4,45,3,6,2021,SQ1,6.2806,0.0,97.93,1003.84913,26.523,10.127,0.45138,0.0000000000000000000
5,0,3,6,2021,SQ1,6.5011,0.0,97.862,1003.76913,26.512,5.8376,0.63238,0.0000000000000000000
5,15,3,6,2021,SQ1,6.7213,0.0,98.231,1003.81913,26.523,6.865,0.33965,0.0000000000000000000
5,30,3,6,2021,SQ1,6.8316,0.0,98.332,1003.83913,26.456,8.2026,1.7474,0.0000000000000000000
5,45,3,6,2021,SQ1,8.7049,0.0,98.678,1003.88913,26.433,2.7695,1.4949,0.0000000000000000000
6,0,3,6,2021,SQ1,15.206,0.0,99.047,1003.90913,26.501,7.3227,1.553,0.0018115942028985000
6,15,3,6,2021,SQ1,27.548,0.0,98.936,1003.96913,26.367,8.9187,1.448,0.0072826086956520996
6,30,3,6,2021,SQ1,119.23,0.0,99.284,1003.97913,26.58,9.776,0.64804,0.0192391304347825989
6,45,3,6,2021,SQ1,79.556,0.0,98.748,1003.99913,27.05,14.075,1.3385,0.0209057971014492000
7,0,3,6,2021,SQ1,107.22,0.0,97.821,1003.99913,27.117,11.769,0.48715,0.0326086956521738983
7,15,3,6,2021,SQ1,128.81,0.0,97.485,1004.07913,27.296,13.574,0.47821,0.0343115942028984974
7,30,3,6,2021,SQ1,109.09,0.0,96.566,1004.13913,27.26,12.24,0.50277,0.0327536231884057033
7,45,3,6,2021,SQ1,211.44,0.0,95.425,1003.99913,27.36,14.1,0.65248,0.0888043478260868990
8,0,3,6,2021,SQ1,455.91,0.0,92.576,1003.95913,27.996,15.992,1.7519,0.1567028985507246119
8,15,3,6,2021,SQ1,221.88,0.0,89.615,1003.95913,28.555,15.992,1.3407,0.1439492753623188015
8,30,3,6,2021,SQ1,432.73,0.0,88.174,1003.91913,29.348,15.993,1.9396,0.1591666666666665952
8,45,3,6,2021,SQ1,175.38,0.0,86.811,1004.06913,29.136,15.995,2.0759,0.1701086956521739024
9,0,3,6,2021,SQ1,568.77,0.0,85.09,1003.95913,29.303,15.997,1.1396,0.1381521739130434079
9,15,3,6,2021,SQ1,141.78,0.0,84.146,1003.92913,29.645,15.997,2.6276,0.0693840579710144068
9,30,3,6,2021,SQ1,120.29,0.0,79.273,1003.90913,29.632,15.995,2.7325,0.1104710144927535942
9,45,3,6,2021,SQ1,527.06,0.0,79.049,1003.91913,29.62,15.996,1.5372,0.2028260869565217117
10,0,3,6,2021,SQ1,260.27,0.0,78.053,1003.94913,30.278,15.995,2.8777,0.2286956521739129944
10,15,3,6,2021,SQ1,773.24,0.0,74.534,1003.90913,31.16,16.001,4.073,0.1446014492753623093
10,30,3,6,2021,SQ1,813.57,0.0,72.543,1003.76913,31.661,16.0,5.992,0.1526449275362317948
10,45,3,6,2021,SQ1,894.71,0.0,74.129,1003.67913,31.616,16.003,2.8418,0.1267753623188405121
11,0,3,6,2021,SQ1,230.64,0.0,69.614,1003.74913,31.837,16.004,3.4695,0.2502536231884057161
11,15,3,6,2021,SQ1,544.71,0.0,70.728,1003.79913,31.588,16.003,3.6146,0.2351449275362318125
11,30,3,6,2021,SQ1,748.47,0.0,67.968,1003.71913,32.045,16.004,3.8603,0.2539130434782608803
11,45,3,6,2021,SQ1,787.08,0.0,65.187,1003.67913,32.257,16.004,5.6094,0.2500362318840578801
12,0,3,6,2021,SQ1,757.43,0.0,66.348,1003.63913,31.777,16.004,5.0308,0.2547101449275361862
